id,pubmed_id,bibliography,is_bibliography
1,10419612,"Nisbet DL,Griffin DR,Chitty LS. Prenatal features of Noonan syndrome. Prenat Diagn.. 1999;19(7):642-7.",1
2,10433620,"ValidYN,CollectiveName,AffiliationInfo. Cancer risks in BRCA2 mutation carriers. J Natl Cancer Inst.. 1999;91(15):1310-6.",1
3,10599684,"Vilain E,Le Merrer M,Lecointre C,Desangles F,Kay MA,Maroteaux P,McCabe ER. IMAGe, a new clinical association of intrauterine growth retardation, metaphyseal dysplasia, adrenal hypoplasia congenita, and genital anomalies. J Clin Endocrinol Metab.. 1999;84(12):4335-40.",1
4,10612394,"Stewart GS,Maser RS,Stankovic T,Bressan DA,Kaplan MI,Jaspers NG,Raams A,Byrd PJ,Petrini JH,Taylor AM. The DNA double-strand break repair gene hMRE11 is mutated in individuals with an ataxia-telangiectasia-like disorder. Cell.. 1999;99(6):577-87.",1
5,10864200,"Chompret A,BrugiÃ¨res L,Ronsin M,Gardes M,Dessarps-Freichey F,Abel A,Hua D,Ligot L,Dondon MG,Bressac-de Paillerets B,FrÃ©bourg T,Lemerle J,BonaÃ¯ti-PelliÃ© C,Feunteun J. P53 germline mutations in childhood cancers and cancer risk for carrier individuals. Br J Cancer.. 2000;82(12):1932-7.",1
6,10956390,"Vasen HF,Gruis NA,Frants RR,van Der Velden PA,Hille ET,Bergman W. Risk of developing pancreatic cancer in families with familial atypical multiple mole melanoma associated with a specific 19 deletion of p16 (p16-Leiden). Int J Cancer.. 2000;87(6):809-11.",1
7,10973256,"Kirschner LS,Carney JA,Pack SD,Taymans SE,Giatzakis C,Cho YS,Cho-Chung YS,Stratakis CA. Mutations of the gene encoding the protein kinase A type I-alpha regulatory subunit in patients with the Carney complex. Nat Genet.. 2000;26(1):89-92.",1
8,10974026,"Casey M,Vaughan CJ,He J,Hatcher CJ,Winter JM,Weremowicz S,Montgomery K,Kucherlapati R,Morton CC,Basson CT. Mutations in the protein kinase A R1alpha regulatory subunit cause familial cardiac myxomas and Carney complex. J Clin Invest.. 2000;106(5):R31-8.",1
9,11113065,"Giardiello FM,Brensinger JD,Tersmette AC,Goodman SN,Petersen GM,Booker SV,Cruz-Correa M,Offerhaus JA. Very high risk of cancer in familial Peutz-Jeghers syndrome. Gastroenterology.. 2000;119(6):1447-53.",1
10,11115848,"Kirschner LS,Sandrini F,Monbo J,Lin JP,Carney JA,Stratakis CA. Genetic heterogeneity and spectrum of mutations of the PRKAR1A gene in patients with the carney complex. Hum Mol Genet.. 2000;9(20):3037-46.",1
11,11136714,"Randerson-Moor JA,Harland M,Williams S,Cuthbert-Heavens D,Sheridan E,Aveyard J,Sibley K,Whitaker L,Knowles M,Bishop JN,Bishop DT. A germline deletion of p14(ARF) but not CDKN2A in a melanoma-neural system tumour syndrome family. Hum Mol Genet.. 2001;10(1):55-62.",1
12,11471165,"Wang LL,Levy ML,Lewis RA,Chintagumpala MM,Lev D,Rogers M,Plon SE. Clinical manifestations in a cohort of 41 Rothmund-Thomson syndrome patients. Am J Med Genet.. 2001;102(1):11-7.",1
13,11719428,"Lee SB,Kim SH,Bell DW,Wahrer DC,Schiripo TA,Jorczak MM,Sgroi DC,Garber JE,Li FP,Nichols KE,Varley JM,Godwin AK,Shannon KM,Harlow E,Haber DA. Destabilization of CHK2 by a missense mutation associated with Li-Fraumeni Syndrome. Cancer Res.. 2001;61(22):8062-7.",1
14,11729114,"Pharoah PD,Guilford P,Caldas C, . Incidence of gastric cancer and breast cancer in CDH1 (E-cadherin) mutation carriers from hereditary diffuse gastric cancer families. Gastroenterology.. 2001;121(6):1348-53.",1
15,11755638,"Biesecker LG,Rosenberg MJ,Vacha S,Turner JT,Cohen MM. PTEN mutations and proteus syndrome. Lancet.. 2001;358(9298):2079-80.",1
16,11920808,"Armada RC,Longchong Ramos M,Marrero P,Pascual J. Embryonal rhabdomyosarcoma associated with tuberous sclerosis. Med Pediatr Oncol.. 2002;38(4):302.",1
17,12072543,"Bishop DT,Demenais F,Goldstein AM,Bergman W,Bishop JN,Bressac-de Paillerets B,Chompret A,Ghiorzo P,Gruis N,Hansson J,Harland M,Hayward N,Holland EA,Mann GJ,Mantelli M,Nancarrow D,Platz A,Tucker MA, . Geographical variation in the penetrance of CDKN2A mutations for melanoma. J Natl Cancer Inst.. 2002;94(12):894-903.",1
