gene,cancer,gender,age,MaxOfcr85,organ
ATM,Breast,Female,25,39.61,Breast
ATM,Colorectal,Male,25,8.34,Colorectal
ATM,Colorectal,Female,25,7.08,Colorectal
ATM,Gastric,Male,25,4.32,Gastric
ATM,Gastric,Female,25,2.51,Gastric
ATM,Pancreatic,Male,25,5.02,Pancreas
ATM,Pancreatic,Female,25,4.47,Pancreas
ATM,Prostate,Male,25,28.87,Prostate
BARD1,Breast,Female,25,26.17,Breast
BARD1,Ovarian,Female,25,4.76,Ovary
BRCA1,Breast,Female,25,68.57,Breast
BRCA1,Ovarian,Female,25,67.76,Ovary
BRCA1,Pancreatic,Male,25,5.43,Pancreas
BRCA1,Pancreatic,Female,25,4.82,Pancreas
BRCA2,Breast,Female,25,61.1,Breast
BRCA2,Breast,Male,25,12.86,Breast
BRCA2,Ovarian,Female,25,36.46,Ovary
BRCA2,Pancreatic,Male,25,7.64,Pancreas
BRCA2,Pancreatic,Female,25,6.8,Pancreas
BRCA2,Prostate,Male,25,21.46,Prostate
BRIP1,Ovarian,Female,25,5.55,Ovary
CDH1,Breast,Female,25,57.03,Breast
CDH1,Gastric,Male,25,70.63,Gastric
CDH1,Gastric,Female,25,55.48,Gastric
CDK4,Melanoma,Male,25,46.59,?skin/eye
CDK4,Melanoma,Female,25,37.94,?skin/eye
CDKN2A/p16,Melanoma,Male,25,46.29,?skin/eye
CDKN2A/p16,Melanoma,Female,25,37.63,?skin/eye
CDKN2A/p16,Pancreatic,Male,25,28.61,Pancreas
CDKN2A/p16,Pancreatic,Female,25,24.39,Pancreas
CHEK2/1100delC,Breast,Female,25,23.47,Breast
CHEK2/1100delC,Colorectal,Male,25,7.96,Colorectal
CHEK2/1100delC,Colorectal,Female,25,6.75,Colorectal
CHEK2/1100delC,Kidney,Female,25,6.58,Kidney
CHEK2/1100delC,Kidney,Male,25,3.81,Kidney
CHEK2/1100delC,Prostate,Male,25,46.61,Prostate
EPCAM,Colorectal,Male,25,89.8,Colorectal
EPCAM,Colorectal,Female,25,79.5,Colorectal
HOXB13,Prostate,Male,25,53.47,Prostate
MLH1,Brain,Male,25,1.41,Brain
MLH1,Brain,Female,25,1.02,Brain
MLH1,Colorectal,Female,25,51.13,Colorectal
MLH1,Colorectal,Male,25,41.65,Colorectal
MLH1,Endometrial,Female,25,21.13,?
MLH1,Gastric,Male,25,28.27,Gastric
MLH1,Gastric,Female,25,13.71,Gastric
MLH1,Ovarian,Female,25,5.26,Ovary
MLH1,Pancreatic,Male,25,6.83,Pancreas
MLH1,Pancreatic,Female,25,6.56,Pancreas
MLH1,Small Intestine,Male,25,9.88,?
MLH1,Small Intestine,Female,25,8.6,?
MLH1,Upper Urinary Tract,Male,25,6.51,Upper Urinary Tract
MLH1,Upper Urinary Tract,Female,25,3.68,Upper Urinary Tract
MLH1,Urinary Bladder,Male,25,7.87,Urinary Bladder
MLH1,Urinary Bladder,Female,25,2.35,Urinary Bladder
