Organ_System,PrimarySpecialist,Gender
Adrenal,Endocrine Surgery,
Adrenal,Endocrinology,
Bile Duct,Surgical Oncology,
Blood,Hematology,
Brain,Neurosurgery,
Brain,Neurology,
Breast,Breast Surgery,
Breast,Medical Oncology,
Cervix,Gynecologic Oncology,
CNS,Neurology,
CNS,Neurology,
CNS,Neurosurgery,
Colorectal,Colorectal surgery,
Colorectal,Gastroenterology,
Duodenal,Surgical Oncology,
Duodenal,Gastroenterology,
Endocrine,Endocrine Surgery,
Endocrine,Endocrinology,
Esophagus,Gastroenterology,
Eye,Ophthalmology,
Gallbladder,Gastroenterology,
Gallbladder,Surgical Oncology,
Gastric,Surgical Oncology,
Gastric,Gastroenterology,
Genitals,Urology,
Genitals,Gynecology,
GI,Surgical Oncology,
GI,Gastroenterology,
Kidney,Medical Oncology,
Kidney,Urology,
Liver,Gastroenterology,
Lung,Medical Oncology,
Lung,Pulmonology,
Mediastinum,Surgical Oncology,
Mesothelium,Surgical Oncology,
Metabolic,Endocrinology,
Neuroendocrine,Endocrinology,
Neuroendocrine,Endocrine Surgery,
Nodes,Hematology,
Ovary,Gynecologic Oncology,
Pancreas,Gastroenterology,
Pancreas,Hepatobiliary Surgery,
Parathyroid,Endocrinology,
Parathyroid,Endocrine Surgery,
Prostate,Urology,
Psychosocial,Genetic Counselor,
Skin,Dermatology,
Teeth,Dentist/Orthodontist,
Teeth,Dentist,
Testes,Urology,
Upper Urinary Tract,Urology,
Ureter,Urology,
Urinary Bladder,Urology,
Uterus,Gynecologic Oncology,
Uterine,Gynecologic Oncology,
Bone,Orthopedic Oncology,
Desmoid,Surgical Oncology,
Diaphragm,Surgical Oncology,
Ear,Head and Neck,
ENT,Head and Neck,
Heart,Thoracic,
Hematologic,Hematologist,
Lymphatic,Hematologist,
Neural Crest,Endocrinology,
Pituitary,Endocrinology,
PNS,Surgical Oncology,
Skeletal,Orthopedics,
Small Bowel,Gastroenterology,
SNS,Surgical Oncology,
Soft Tissue,Surgical Oncology,
Testicular,Urology,
Thymus,Thoracic,
Thyroid,Thoracic,
UGI,Surgical Oncology,
Urothelial,Urology,
Vascular,,
Wilms Tumor,Pediatric surgery,
Neural Crest,Endocrine Surgery,
Pituitary,Neurosurgery,
Small Bowel,Surgical Oncology,
UGI,Gastroenterology,
UGI-Small Bowel,Surgical Oncology,
UGI-Small Bowel,Gastroenterology,
Bile Duct,Gastroenterology,
