NCCN_OriginalID,Gene,Variant,Organ_System,Gender,Modality,OriginalAction,GuidelineBody,GuidelineName,GuidelineVersion,GuidelineYear ,EntryDate,EntryBy,ModifiedDate,ModifiedBy,IsDeleted,DeleteDate,DeletedBy,,,,,,,,,,,,
1,ANKRD26,,General,0,Gene Insight,"Hematologic Findings/Myeloid Malignancy: Moderate thrombocytopenia with mild bleeding manifestations; platelet size is usually not enlarged; dysmegakaryopoiesis/AML, MDS",NCCN,Myelodysplastic Syndromes,1.2023,2022,10/12/2022,Brenna Bentley,,,,,,,,,,,,,,,,,
2,APC,I1307K,Colorectal,0,Endoscopy,"For probands with CRC and this pathogenic variant: See survelliance recommendations for post-CRC resection: NCCN Guidelines for Colon Cancer and NCCN Guidelines for Rectal Cancer. 

For probands without a personal history of CRC: High-quality colonoscopy screening every 5 y, beginning at age 40 or 10 y prior to age of first-degree relative's CRC diagnosis. ",NCCN,Genetic/Familial High-Risk Assessment: Colorectal,1.2022,2022,10/12/2022,Brenna Bentley,,,,,,,,,,,,,,,,,
3,APC,AFAP,Body,0,Examination,Annual physical examination. ,NCCN,Genetic/Familial High-Risk Assessment: Colorectal,1.2022,2022,10/12/2022,Brenna Bentley,,,,,,,,,,,,,,,,,
4,APC,AFAP,Colorectal,0,Endoscopy,"High-quality colonoscopy beginning in late teens, then every 1-2 y.
If small adenoma burden that can be hanndled endoscopically continue high-quality colonoscopy and polypectomy every 1-2 years. Surgical evaluation and counseling if appropriate. 

If adenoma burden that cannot be handled endoscopically, colectomy with IRA (preferred in most cases). Consider proctocolectomy with IPAA if dense rectal polyposis not manageable with polypectomy. 

Small adenoma burden is defined (somewhat arbirarily) as fewer than 20 adenomas, all <1 cm in diamter, and none with advanced histrology, so that colonoscopy with polypectomy can be used to effectively eliminate the polyps. Colectomy may be indicated before this level of polyp burden, especially if colonoscopy is difficult and polyp control is uncertain. Surgery could be considered when polyp burden is >20 at any individual examination, when polyps have been previously ablated, when some polyps have reached a size >1 cm, or when advanced histology is encountered in any polyp. ",NCCN,Genetic/Familial High-Risk Assessment: Colorectal,1.2022,2022,10/12/2022,Brenna Bentley,,,,,,,,,,,,,,,,,
5,APC,AFAP,Colorectal,0,Post-Colectomy Endoscopy ,"If patient had colectomy with IRA, then endoscopic evaluation of rectum every 6-12 mo depending on polyp burden. ",NCCN,Genetic/Familial High-Risk Assessment: Colorectal,1.2022,2022,10/12/2022,Brenna Bentley,,,,,,,,,,,,,,,,,
6,APC,AFAP,General,0,Cascade Testing,"Discuss advantages of genetic testing, including avoidance of costs, burden, and risks associated with frequent colonoscopy if APC mutation ruled out. If genetic testing not completed, high-quality colonoscopy beginning in late teens, then every 2 y. ",NCCN,Genetic/Familial High-Risk Assessment: Colorectal,1.2022,2022,10/17/2022,Brenna Bentley,,,,,,,,,,,,,,,,,
7,APC,FAP,General,0,Cascade Testing,"FAP genetic testing in children should be done by age 10-15 y when colon screening would be initiated. If there is intent to do hepatoblastoma screening, FAP genetic testing should be considered in infancy. ",NCCN,Genetic/Familial High-Risk Assessment: Colorectal,1.2022,2022,10/12/2022,Brenna Bentley,,,,,,,,,,,,,,,,,
9,APC,AFAP,Referral,0,Referral,"It is recommended that patients be managed by physicians or centers with expertise in FAP and that management be individualized to account for genotype, phenotype, and personal considerations.",NCCN,Genetic/Familial High-Risk Assessment: Colorectal,1.2022,2022,10/12/2022,Brenna Bentley,,,,,,,,,,,,,,,,,
10,APC,FAP,Referral,0,Referral,"It is recommended that patients be managed by physicians or centers with expertise in FAP and that management be individualized to account for genotype, phenotype, and personal considerations.",NCCN,Genetic/Familial High-Risk Assessment: Colorectal,1.2022,2022,10/12/2022,Brenna Bentley,,,,,,,,,,,,,,,,,
12,APC,AFAP,Thyroid,0,Imaging,"Thyroid ultrasound at baseline starting in late teenage years. If normal, consider repeating ultrasound every 2-5 years and if abnormal, consider referral to a thyroid specialist. Shorter intervals may be considered for individuals with a family history of thyroid cancer.",NCCN,Genetic/Familial High-Risk Assessment: Colorectal,1.2022,2022,10/12/2022,Brenna Bentley,,,,,,,,,,,,,,,,,
13,APC,FAP,Thyroid,0,Imaging,"Ultrasound at baseline starting in late teenage years. If normal, consider repeating ultrasound every 2-5 years and if abnormal, consider referral to a thyroid specialist. Shorter intervals may be considered for individuals with a family history of thyroid cancer.",NCCN,Genetic/Familial High-Risk Assessment: Colorectal,1.2022,2022,10/12/2022,Brenna Bentley,,,,,,,,,,,,,,,,,
15,APC,AFAP,UGI,0,Endoscopy,"Upper endoscopy (including complete visualization of the ampulla of Vater) starting at around age 20-25 years. Consider baseline upper endoscopy earlier, if family history of aggressive duodenal adenoma burden or cancer. Cap-assisted endoscopy may be adequate for visualization of the ampulla. (Kallenberg F, et al. Endoscopy 2017;49:181-185.)",NCCN,Genetic/Familial High-Risk Assessment: Colorectal,1.2022,2022,10/12/2022,Brenna Bentley,,,,,,,,,,,,,,,,,
